Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Ten faces of innovation: strategies for heightening creativity,"Kelley, Tom","London: Profile, 2006",Creative Ability|Creative Thinking|Organisational Behaviour,658.5752 KEL,Sydney,12/03/2013,
Terroir: cosmopolitan ground,"Balmforth, Scott (ed)|Reinmouth, Gerard (ed)","Broadway, NSW: University of Technology Sydney, Faculty of Design, Architecture and Building, 2007",Terroir,720.922 TER,Brisbane,,14/01/2008
"The 3D printing handbook: technologies, design and applications","Redwood, Ben","Amsterdam: 3D Hubs BV, 2017",3D Printing|Computer-Aided Design (CAD),621.988 RED,Sydney,24/04/2018,
The Action is form: Victor Hugo's Ted Talk,"Easterling, Leller","[Moscow]: Strelka Press, 2012",,Strelka Press - Stored temporarily during 2017 fit-out # SYD03583908,Sydney,3/10/2015,
The Advantage: why organizational health trumps everything else in business,"Lencioni, Patrick","San Francisco: Jossey-Bass, 2012",Organisational Behaviour|Organisational Effectiveness|Management,658.1 LEN,Sydney,8/07/2019,
The age of heretics: a history of the radical thinkers who reinvented corporate management,"Kleiner, Art","USA: Jossey-Bass, 2008",Management|Organisational Change,658.4 KLE,Brisbane,,3/06/2009
The Alphabet and the algorithm,"Carpo, Mario","Cambridge, Massachusetts: The MIT Press, 2011",Architecture and Technology|Architectural Design,720.1 CAR,Sydney,20/06/2019,
The Architecture of happiness,"De Botton, Alain","Australia: Penguin Books, 2006",Architectural Philosophy|Architecture and Society|Happiness,720.13 DEB,Brisbane|Sydney,29/06/2006,24/05/2006
The Architecture of hope: Maggie's cancer caring centres,"Heathcote, Edwin|Jencks, Charles","London : Frances Lincoln, 2015","Hospices|Keswick, Maggie|Maggie's Centres",725.51 JEN,Sydney,14/07/2010,
The Architecture of imaging,"Rostenberg, Bill","USA: American Hospital Publishing, 1995",Radiology Facilities,725.5 ROS,Brisbane,,
The architecture of Japan,"Drexler, Arthur","New York: Museum of Modern Art, 1955",Architecture - Japan,720.952 DRE,Brisbane,,
The Architecture of John Lautner,"Hess, Alan|Weintraub, Alan|Lautner, John","London: Thames & Hudson, 1999",,720.92 LAU,Brisbane,,26/02/2002
The Architecture of medical imaging,"Rostenberg, Bill","NJ: John Wiley & Sons, 2006",Diagnostic Imaging|Diagnostic Facilities|Radiology Facilities,725.5 ROS,Brisbane|Sydney,6/08/2009,11/14/2013
The Architecture of parking,"Henley, Simon","London: Thames & Hudson, 2007",Parking,725.38 HEN,Brisbane|Sydney,29/10/2007,28/09/2007
The architecture of patterns,"Andersen, Paul|Salomon, David","New York : W.W. Norton &  Co., 2010",Architectural Design|Architecture - Composition and Proportion,720 AND,Brisbane,,14/02/2011
The Architecture of skyscrapers,"Webb, Michael","New York: Hearst Books, 1997",Skyscrapers,725.2 WEB,Brisbane,,Feb-98
The Architecture of the city,"Rossi, Aldo","Cambridge, Mass.: MIT Press, 1982",City Planning|Urban Planning,711.4 ROS,Brisbane|Sydney,3/25/2013,
The architecture of the well-tempered environment,"Banham, Reyner","Sydney: Steensen Varming, 2008",Environmental Engineering|Adaptive Re-Use,720.47 BAN,Brisbane,,1/11/2017
The Architecture of Yorke Rosenberg Mardall 1944-1972,"Banham, Reyner","London: Lund Humphries, 1972","Architecture, Modern - 20th Century|Architecture - England|Yorke Rosenberg Mardall",720.92 YOR,Brisbane,,
The Architecture reference + specification book: everything architects need to know every day,"McMorrough, Julia","Gloucestor, Mass: Rockport, 2013",Architecture - Handbooks & Manuals|Building Specifications,690.02 ARC Reference,Sydney,3/01/2022,
"The Art of precast concrete: colour, texture, expression","Bennett, David","Basel: Birkhauser, 2005",Concrete - Precast,693.522 BEN,Brisbane|Sydney,2/01/2012,18/04/2007
The art of staircases,"Chueca, Pilar","Barcelona : Carles Broto i Comerma : Links, [2006]",Staircases|Stairs|Stairs - Designs and Plans,721.832 CHU,Brisbane,,1/07/2008
The art of the idea: and how it can change your life,"Hunt, John","NY: PowerHouse Books, 2009",Creative Thinking|Creative Ability,153.3 HUN,Brisbane|Sydney,5/29/2014,
The Art of working,"Veldhoen, Erik","The Hague: Academic Service, 2005",Activity Based Working (ABW)|Interpolis Office Concept|Office Layout|Organisational Behaviour|Workplace Design,725.23 VEL,Sydney,14/07/2010,
The articulate surface: ornament and technology in contemporary architecture,"Pell, Ben","Basel, Switzerland: Birkhauser, 2010",Facades|Ornamentation,721 PEL,Brisbane,,8/09/2010
The Australian Dwelling,"Freeman, Peter (ed)","Canberra: RAIA, 1991",Architecture - Australia - History|Houses - Australia,728.0994 AUS,Sydney,2/01/2007,
The Australian house: homes of the tropical north,"Saini, Balwant|Joyce, Ray","Sydney: Lansdowne, 1982",Architecture - Queensland|Houses|Tropical Architecture,728.37 SAI,Brisbane|Sydney,11/10/2007,8/09/2004
The Bauhaus 1919 -1933: reform and avant-garde,"Droste, Magdalena","Ko¨ln: Taschen, 2006","The Bauhaus|Gropius, Walter",708.3 DRO,Sydney,11/18/2013,
The Best in leisure and public architecture,"Phillips, Alan","London: Quatro Publishing, 1993",Public Buildings,725 PHI,Brisbane,,Apr-94
The Best of Grand Designs Australia,,"Sydney: Bauer Media Group, 2016",Houses - Australia,728.0994 BES,Sydney,18/04/2018,
The best place to work: the art and science of creating an extraordinary workplace,"Friedman, Ron","NY: A Perigee Book, 2014",Workplace Design|Organisational Behaviour|Corporate Culture,658.3 FRI,Brisbane|Sydney,2/11/2015,2/11/2015
The BIID interior design job Book: how to run a project,"Yakeley, Diana|Yakeley, Stephen","London, RIBA Publishing, 2010",Interior Design,747.068 YAK,Brisbane,,20/10/2010
"The BIM manager's handbook: guidance for professionals in architecture, engineering, and construction","Holzer, Dominik","UK: John Wiley &  Sons, 2016",BIM (Building Information Modelling),721.018 HOL,Brisbane,,6/06/2016
The Book 2012,Info-Link Architecture & Design,"[Sydney]:Info-Link, 2012",Architecture - Australia - 21st Century,720.922 INF 2012,Sydney,6/26/2012,
The Breeze block book,"Marshall, Sam (ed)|Ward, Maitiu´ (ed)","Melbourne: Uro Publications, 2019",Brickwork|Concrete Blocks,693.21 BRE,Brisbane|Sydney,8/08/2019,8/08/2019
The Business of research: knowledge and learning redefined in architectural practice,"Saunt, Deborah (ed)","Newark: John Wiley &  Sons, 2019",Architectural Practice|Knowledge Management|Research Methods,720.1 SAU,Sydney,16/07/2019,
The Cambridge handbook of creativity,"Kaufman, James (ed)|Sternberg, Robert (ed)","New York : Cambridge University Press, 2010",Creative Ability|Creative Thinking,153.35 CAM,Sydney,3/01/2012,
The cathedral and the bazaar : musings on linux and open source by an accidental revolutionary,"Raymond, Eric","Sebastopol, CA : O'Reilly, 1999",,005.4 RAY,Brisbane,,8/05/2009
"The chair: rethinking culture, body, and design","Cranz, Galen","New York: W.W. Norton, c1998 [2000]",Chairs|Chairs - Design,749.32 GRA,Sydney,3/26/2012,
The Charged void: urbanism,"Smithson, Alison|Smithson, Peter","New York: Monacelli Press, 2005",Urban Planning|City Planning,709.2 SMI,Brisbane,,9/02/2014
The Checklist manifesto : how to get things right,"Gawande, Atul","New York: Metropolitan Books, 2010",Lists|Quality Systems,610 GAW,Sydney,25/10/2010,
"The Choice of dimension stone in architecture : aesthetic, technical and commercial characteristics of natural stone","Bradley, Frederick","Italy: Studio Marmo, 1997",Stone,691.2 BRA,Sydney,4/01/2007,
The City in conflict,"Johnson, Chris (ed)","Melbourne: Law Book Company, 1985",Urban Planning,711.4 CIT,Brisbane,,3/09/2004
"The City of tomorrow: sensors, networks, hackers, and the future of urban life","Ratti, Carlo|Claudel, Matthew","New Haven: Yale University Press, 2016",City Planning|Cities and Towns|Urban Planning|Technological Innovations,307.76 RAT,Sydney,11/08/2016,
The Colony: a history of early Sydney,"Karskens, Grace","Sydney: Allen & Unwin, 2010",Sydney - History,994.41 KAR,Sydney,16/03/2021,
The Connected company,"Gray, David","Sebastopol, CA: O'Reilly Media Inc, 2012",Technological Innovations|Internet Marketing|Organisational Behaviour|Customer Service,658.872 GRA,Brisbane|Sydney,12/01/2017,12/01/2017
The creative habit : learn it and use it for life : a practical guide,"Tharp, Twyla","New York : Simon & Schuster, 2006",Creative Ability|Creative Thinking,153.3 THA,Brisbane,,20/11/2009
The Curves of time: the memoirs of Oscar Niemeyer,,"London: Phaidon, 2000","Niemeyer, Oscar",720.92 NIE,Sydney,11/27/2012,
The Dance of Change,"Senge, Peter","London: Nicholas Brealey,",Organisational Change|Management,658.4 SEN,Brisbane,,
The Death and life of great American cities,"Jacobs, Jane","NY: Modern Library, 1993",City Planning - USA|Urban Planning|Urban Renewal,711.40973 JAC,Brisbane|Sydney,25/10/2010,3/26/2012
The Defined garden: the garden design of Paul Bangay,"Bangay, Paul","Melbourne: Viking, 1996",Landscape Design,712.6 BAN,Brisbane,,Feb-97
The definitive guide to project management : the fast trak to getting the job done on time and on budget,"Nokes, Sebastian|Kelly, Sean","Harlow, England ; New York : Prentice Hall/Financial Times, 2007",Project Management,658.4 NOK,Brisbane,,6/10/2008
The Demise of the office: the digital workplace in a thriving organisation,"Veldhoen, Erik","Rotterdam: 010 Publishers, 1995",Activity Based Working (ABW)|Office Fitouts|Workplace Design,658.23 VEL,Brisbane,,Jan 97 (purchased from Architext - $43)
The Design of scarcity,"Goodbun, Jon","[Moscow]: Strelka Press, 2014",,Strelka Press,Sydney,3/10/2015,
The Designer's guide to doing research: applying knowledge to inform design,"Augustin, Sally|Coleman, Cindy","Hoboken, NJ: John Wiley, 2012",Architecture - Research|Architecture - Study and Teaching,720.1 AUG,Brisbane|Sydney,2/11/2015,26/10/2015
The Dot-com city: Silicon Valley urbanism,"Lange, Alexandra","[Moscow]: Strelka Press, 2012",,Strelka Press,Sydney,3/10/2015,
The Ecology of architecture: a complete guide to creating the environmentally conscious building,"Zeiher, Laura","NY: Whitney Library of Design, 1996",Architecture - Environmental Aspects|Ecology|Environmentally Sustainable Design (ESD),720.47 ZEI,Sydney,15/07/2020,
The Ekka : the people and events of Brisbane's Royal National Agricultural and Industrial Association Show,"Mills, Frank","Spring Hill, Qld: Publishing Services, 1990",Australia - Queensland|Brisbane Exhibition|Ekka,630.749431 MIL,Brisbane,,
The Elements of content strategy,"Kissane, Erin","New York: A Book Apart, 2011",Web site development|Web sites - Design,006.76 KIS,Sydney,4/12/2012,
The elements of mentoring,"Johnson, W Brad|Ridley, Charles R","New York : Palgrave Macmillan, 2008",Mentoring,658.3 JOH,Brisbane,,6/10/2009
The Encyclopedia of Australian architecture,"Goad, Philip (ed)|Willis, Julie (ed)","Melbourne: Cambridge University Press, 2012",Architects - Australia|Architecture - Australia - History,720.994 ENC,Brisbane|Sydney,1/30/2012,
The English cathedral,"Marlow, Peter","London: Merrell, 2012",Cathedrals|Churches,726 MAR,Sydney,2/21/2013,
The European office,"Van Meel, Juriaan","Rotterdam: 010 Places, 2000",Workplace Design|Office Buildings - History,725.23 MEE,Brisbane|Sydney,19/01/2006,11/14/2013
"The Extended self: architecture, memes and minds","Abel, Chris","Manchester, UK: Manchester University Press, 2015",Architecture and Society,720.103 ABE,Sydney,8/13/2015,
The eyes of the skin: architecture and the senses,"Pallasmaa, Juhani","Chichester: Wiley, 2013",Architectural Theory|Architecture - Aesthetics,720.1 PAL,Brisbane|Sydney,6/06/2018,22/01/2019
The Federation house : Australia's own style,"Fraser, H|Joyce, R","Sydney: Weldon Publishing, 1989",Houses - Australia,728.37 FRA,Brisbane,,
The Fifth discipline: the art and practice of the learning organization,"Senge, Peter","New York: Currency Doubleday, [2006]",Organisational Behaviour|Teams in the Workplace|Learning|Learning,658.4 SEN,Sydney,3/03/2022,
The first XI : winning organisations in Australia,"Hubbard, Graham","Brisbane: John Wiley & Sons, 2002","Management|Organisational Behaviour
",658.40994 HUB,Sydney,8/08/2006,
The Five dysfunctions of a team: a leadership fable,"Lencioni, Patrick","San Francisco: Jossey-Bass, 2002",Corporate Culture|Leadership|Teams in the Workplace,658.1 LEN,Sydney,8/07/2019,
The Fourth factor:  a historiacl perspective on architecture and medicine,"Currie, John Michael","New York: Ameican Institute of Architects, 2007",Hospitals - Design and Construction - History,725.51 CUR,Sydney,23/07/2008,
The function of form,"Moussavi, Farshid","Barcelona ; New York : Actar ; [Cambridge, Mass.] : Harvard University, Graduate School of Design, c2009",Architectural Design|Architecture - Details|Architecture - Modern,721 MOU,Brisbane,,29/03/2010
The Function of style,"Moussavi, Farshid","NY: Actar D, 2014",Architectural Design|Architecture - Modern|Architecture - Details,729 MOU,Sydney,14/01/2016,
The Future of making: understanding the forces shaping how and what we create,"Wuject, Thom","Autodesk, 2017",Digital Architecture|Digital Technology|Technological Innovations,721.018 WUJ,Sydney,31/07/2017,
The Future of the professions: how technology will transform the work of human experts,"Susskind, Ricahrd|Susskind, Daniel","Oxford: Oxford University Press, 2015",Technological Innovations|Information Technology - Social Aspects|Work - Social Aspects,303.483 SUS,Sydney,19/11/2019,
"The future of work: how the new order of business will shape your organization, your management style and your life","Malone, Thomas W","Boston, Mass: Harvard Business School Press, 2004",Industrial Management,650 MAL,Brisbane,,1/06/2009
The Gate of the present : 25 contemporary Lego gates with a historical introduction,,,"Grose, James|Symbolism in Architecture|Urban Planning",711 GAT,Sydney,11/09/2007,
The Glasshouse,"Hix, John","London: Phaidon, 2005",Glasshouses|Glass in Architecture,721.044 HIX,Sydney,14/10/2008,
The Golden book of the Olympic Games,"Kamper, Erich|Mallon, Bill","Milan, Italy : Vallardi & Associati Editrice, 1992",Olympic Games - History,796.48 KAM,Sydney,1/11/2007,
The Good office: green design on the cutting edge,"Becker, Kristen|Riordan, John","New York: Collins Design, 2008",Environmentally Sustainable Design (ESD)|Office Buildings|Workplace Design,725.2 BEC,Brisbane|Sydney,29/01/2009,18/02/2009
"The Great indoors: the surprising science of how buildings shape our behavior, health, and happiness","Anthes, Emily","NY: Scientific American/Farrar, Straus and Giroux, 2020",Architecture - Human Factors|Buildings - Psychological Aspects|Interior Design,720.1 ANT,Brisbane|Sydney,1/06/2021,1/06/2021
The Griffin legacy,,"Canberra: National Capital Authority, 2004",Canberra - History|Urban Planning - Canberra,711.4099471 GRI,Sydney,5/07/2006,
The Healing environment: without and within,"Kirklin, Deborah (ed)","London: Royal College of Physicians, 2003",Colour|Healing,725.5 HEA,Brisbane|Sydney,12/02/2010,10/16/2013
The Healings arts: the arts project at Chelsea and Westminster Hospital,CWPLUS,"London: Unicorn, 2019",Arts|Healthcare Buildings|Healing,725.51 CWP,Sydney,1/10/2019,
The High Court of Australia,National Capital Development Commission,Canberra,,Archives SYD01511322,Sydney,12/21/2010,
The Hindu temple,"Champakalakshmi, R","New Delhi: Roli Books, 2001","Architecture - India - History|Architecture, Hindu|Religious Buildings|Temples",726.1 CHA,Sydney,11/03/2009,
The History of the Australian War Memorial,Australian War Memorial,,,Archives SYD01511322,Sydney,12/21/2010,
The honeywood settlement,"Creswell, H B","Chicago: Academy, 2007 [1930]",,823 HON,Brisbane,,21/03/2012
The housing design handbook: a guide to good practice,"Levitt, David","London: Routledge, 2010",Housing|Houses - Design and Construction,728 LEV,Sydney,3/05/2015,
"The Idea of a town: the anthropology of urban form in Rome, Italy and the ancient world","Rykwert, Joseph",,"Architecture, Ancient|City Planning|Urban Planning",307.12903 RYK,Sydney,11/03/2009,
The Idea of the city,"Middleton, Robin","London: Architectural Association, 1996",Urban Planning,720.1 IDE,Brisbane,,Jan 97 (purchased by JJV)
The Ideal team player - how to recognize and cultivate the three essential virtue: a leadership fable,"Lencioni, Patrick","San Francisco: Jossey-Bass, 2016",Corporate Culture|Leadership|Teams in the Workplace,658.1 LEN,Sydney,8/07/2019,
The Illustrated Burra Charter [The Burra Charter : the Australia ICOMOS charter for the conservation of places of cultural significance],"Marquis-Kyle, Peter|Walker, Meredith","Canberra: Australian Heritage Commission, 1992",Conservation and Restoration|Historic Buildings - Australia,363.69 0994 BUR,,4/01/2007,
The Images of architects: 44 collections by unique architects,"Olgiati, Valerio","Lucerne: Quart Publishers, 2013",,720 OLG,Sydney,12/03/2013,
The Importance of natural ventilation and daylight in schools,Monodraught,,Daylighting|Schools|Natural Ventilation,727 MON,Sydney,3/26/2012,
The Inside story: 480 Queen,BHP Billiton,"[Brisbane]: BHP Billiton, [2016]",BVN Architecture (Bligh Voller Nield)|Office Buildings - Australia,720.922 BVN,Brisbane|Sydney,14/09/2016,14/09/2016
The Integrative design guide to green building: redefining the practice of sustainability,"Reed, Bill|7group","Hoboken, N.J.: John Wiley &  Sons, 2009",Environmentally Sustainable Design (ESD)|Sustainable Architecture|Sustainable Design,720.47 REE,Sydney,22/08/2019,
